id_subsistema,idhistorico_carga,subsistema,data,valor
4,206103.0,Norte,17/03/2007,3347.95
1,206104.0,Sudeste,17/03/2007,31026.19
5,206105.0,SIN,17/03/2007,49089.68
3,206106.0,Nordeste,17/03/2007,6920.54
2,206107.0,Sul,17/03/2007,7795.0
4,206108.0,Norte,18/03/2007,3227.55
3,206109.0,Nordeste,18/03/2007,6387.65
2,206110.0,Sul,18/03/2007,6367.5
1,206111.0,Sudeste,18/03/2007,27351.91
5,206112.0,SIN,18/03/2007,43334.61
2,206113.0,Sul,19/03/2007,8321.47
4,206114.0,Norte,19/03/2007,3415.6
1,206115.0,Sudeste,19/03/2007,32397.85
3,206116.0,Nordeste,19/03/2007,7084.67
5,206117.0,SIN,19/03/2007,51219.59
5,206118.0,SIN,20/03/2007,52838.27
1,206119.0,Sudeste,20/03/2007,33138.81
2,206120.0,Sul,20/03/2007,8759.06
3,206121.0,Nordeste,20/03/2007,7502.68
4,206122.0,Norte,20/03/2007,3437.72
5,206123.0,SIN,21/03/2007,53025.67
1,206124.0,Sudeste,21/03/2007,33078.94
2,206125.0,Sul,21/03/2007,8924.98
3,206126.0,Nordeste,21/03/2007,7611.67
4,206127.0,Norte,21/03/2007,3410.08
5,206128.0,SIN,22/03/2007,53501.990000000005
3,206129.0,Nordeste,22/03/2007,7619.59
4,206130.0,Norte,22/03/2007,3334.29
1,206131.0,Sudeste,22/03/2007,33468.33
2,206132.0,Sul,22/03/2007,9079.78
2,206133.0,Sul,23/03/2007,9334.4
5,206134.0,SIN,23/03/2007,54129.67
1,206135.0,Sudeste,23/03/2007,33846.15
3,206136.0,Nordeste,23/03/2007,7556.28
4,206137.0,Norte,23/03/2007,3392.84
5,206138.0,SIN,24/03/2007,49600.240000000005
1,206139.0,Sudeste,24/03/2007,30899.81
2,206140.0,Sul,24/03/2007,8185.32
3,206141.0,Nordeste,24/03/2007,7168.05
4,206142.0,Norte,24/03/2007,3347.06
1,206143.0,Sudeste,25/03/2007,27807.96
4,206144.0,Norte,25/03/2007,3198.23
3,206145.0,Nordeste,25/03/2007,6638.87
5,206146.0,SIN,25/03/2007,44505.91
2,206147.0,Sul,25/03/2007,6860.85
5,206148.0,SIN,26/03/2007,53157.82000000001
4,206149.0,Norte,26/03/2007,3467.28
3,206150.0,Nordeste,26/03/2007,7445.84
2,206151.0,Sul,26/03/2007,9017.08
1,206152.0,Sudeste,26/03/2007,33227.62
1,206153.0,Sudeste,27/03/2007,34496.33
4,206154.0,Norte,27/03/2007,3428.32
3,206155.0,Nordeste,27/03/2007,7625.81
2,206156.0,Sul,27/03/2007,9542.97
5,206157.0,SIN,27/03/2007,55093.43
1,206158.0,Sudeste,28/03/2007,34787.92
5,206159.0,SIN,28/03/2007,55664.009999999995
4,206160.0,Norte,28/03/2007,3404.73
2,206161.0,Sul,28/03/2007,9848.39
3,206162.0,Nordeste,28/03/2007,7622.97
4,206163.0,Norte,29/03/2007,3488.95
3,206164.0,Nordeste,29/03/2007,7504.95
1,206165.0,Sudeste,29/03/2007,34835.77
2,206166.0,Sul,29/03/2007,9862.39
5,206167.0,SIN,29/03/2007,55692.06
5,206168.0,SIN,30/03/2007,55744.06
1,206169.0,Sudeste,30/03/2007,34800.63
2,206170.0,Sul,30/03/2007,9884.88
3,206171.0,Nordeste,30/03/2007,7528.89
4,206172.0,Norte,30/03/2007,3529.66
5,206173.0,SIN,31/03/2007,50984.51
1,206174.0,Sudeste,31/03/2007,32071.11
2,206175.0,Sul,31/03/2007,8324.45
3,206176.0,Nordeste,31/03/2007,7179.13
4,206177.0,Norte,31/03/2007,3409.82
2,206178.0,Sul,01/04/2007,6690.33
3,206179.0,Nordeste,01/04/2007,6640.32
4,206180.0,Norte,01/04/2007,3292.34
1,206181.0,Sudeste,01/04/2007,28668.57
5,206182.0,SIN,01/04/2007,45291.56
1,206183.0,Sudeste,02/04/2007,33991.81
2,206184.0,Sul,02/04/2007,9098.15
3,206185.0,Nordeste,02/04/2007,7534.36
4,206186.0,Norte,02/04/2007,3488.96
5,206187.0,SIN,02/04/2007,54113.28
2,206188.0,Sul,03/04/2007,9268.91
3,206189.0,Nordeste,03/04/2007,7675.94
4,206190.0,Norte,03/04/2007,3493.11
1,206191.0,Sudeste,03/04/2007,34597.33
5,206192.0,SIN,03/04/2007,55035.29
5,206193.0,SIN,04/04/2007,54906.91
1,206194.0,Sudeste,04/04/2007,34757.3
2,206195.0,Sul,04/04/2007,9018.24
3,206196.0,Nordeste,04/04/2007,7641.45
4,206197.0,Norte,04/04/2007,3489.92
5,206198.0,SIN,05/04/2007,53526.66
4,206199.0,Norte,05/04/2007,3443.79
3,206200.0,Nordeste,05/04/2007,7372.33
2,206201.0,Sul,05/04/2007,8755.12
1,206202.0,Sudeste,05/04/2007,33955.42
5,206203.0,SIN,06/04/2007,43551.0
4,206204.0,Norte,06/04/2007,3324.97
3,206205.0,Nordeste,06/04/2007,6370.06
2,206206.0,Sul,06/04/2007,6386.59
1,206207.0,Sudeste,06/04/2007,27469.38
2,206208.0,Sul,07/04/2007,6650.76
1,206209.0,Sudeste,07/04/2007,28184.73
4,206210.0,Norte,07/04/2007,3421.53
5,206211.0,SIN,07/04/2007,45020.229999999996
3,206212.0,Nordeste,07/04/2007,6763.21
4,206213.0,Norte,08/04/2007,3339.42
1,206214.0,Sudeste,08/04/2007,26469.95
3,206215.0,Nordeste,08/04/2007,6541.14
5,206216.0,SIN,08/04/2007,42264.87
2,206217.0,Sul,08/04/2007,5914.36
4,206218.0,Norte,09/04/2007,3593.09
2,206219.0,Sul,09/04/2007,8153.1
1,206220.0,Sudeste,09/04/2007,31631.29
3,206221.0,Nordeste,09/04/2007,7561.45
5,206222.0,SIN,09/04/2007,50938.93
5,206223.0,SIN,10/04/2007,52273.85
4,206224.0,Norte,10/04/2007,3543.79
3,206225.0,Nordeste,10/04/2007,7753.42
2,206226.0,Sul,10/04/2007,8646.82
1,206227.0,Sudeste,10/04/2007,32329.82
3,206228.0,Nordeste,11/04/2007,7602.39
5,206229.0,SIN,11/04/2007,52816.89
4,206230.0,Norte,11/04/2007,3556.12
2,206231.0,Sul,11/04/2007,8931.53
1,206232.0,Sudeste,11/04/2007,32726.85
2,206233.0,Sul,12/04/2007,8909.14
3,206234.0,Nordeste,12/04/2007,7528.37
4,206235.0,Norte,12/04/2007,3556.17
5,206236.0,SIN,12/04/2007,53389.61
1,206237.0,Sudeste,12/04/2007,33395.93
3,206238.0,Nordeste,13/04/2007,7439.47
5,206239.0,SIN,13/04/2007,53246.56999999999
4,206240.0,Norte,13/04/2007,3544.39
1,206241.0,Sudeste,13/04/2007,33512.06
2,206242.0,Sul,13/04/2007,8750.65
5,206243.0,SIN,14/04/2007,49168.32
4,206244.0,Norte,14/04/2007,3436.76
3,206245.0,Nordeste,14/04/2007,7110.22
2,206246.0,Sul,14/04/2007,7855.23
1,206247.0,Sudeste,14/04/2007,30766.11
3,206248.0,Nordeste,15/04/2007,6615.5
2,206249.0,Sul,15/04/2007,6622.69
1,206250.0,Sudeste,15/04/2007,27523.54
4,206251.0,Norte,15/04/2007,3255.29
5,206252.0,SIN,15/04/2007,44017.020000000004
5,206253.0,SIN,16/04/2007,52153.15
1,206254.0,Sudeste,16/04/2007,32389.03
2,206255.0,Sul,16/04/2007,8844.61
3,206256.0,Nordeste,16/04/2007,7388.64
4,206257.0,Norte,16/04/2007,3530.87
1,206258.0,Sudeste,17/04/2007,33092.28
3,206259.0,Nordeste,17/04/2007,7410.03
4,206260.0,Norte,17/04/2007,3532.43
2,206261.0,Sul,17/04/2007,9126.21
5,206262.0,SIN,17/04/2007,53160.95
1,206263.0,Sudeste,18/04/2007,32914.28
2,206264.0,Sul,18/04/2007,9233.47
3,206265.0,Nordeste,18/04/2007,7281.39
5,206266.0,SIN,18/04/2007,52963.45
4,206267.0,Norte,18/04/2007,3534.31
4,206268.0,Norte,19/04/2007,3549.84
3,206269.0,Nordeste,19/04/2007,7226.25
2,206270.0,Sul,19/04/2007,9278.88
1,206271.0,Sudeste,19/04/2007,33057.89
5,206272.0,SIN,19/04/2007,53112.86
5,206273.0,SIN,20/04/2007,53144.85
1,206274.0,Sudeste,20/04/2007,33153.92
4,206275.0,Norte,20/04/2007,3537.98
2,206276.0,Sul,20/04/2007,9316.05
3,206277.0,Nordeste,20/04/2007,7136.9
4,206278.0,Norte,21/04/2007,3374.09
3,206279.0,Nordeste,21/04/2007,6556.63
