,produto,submercado,expiracao,data,volume,VWAP,M,H,h,h_cresc
5002,SE CON MEN JUN/16,SE,2016-07-01,2016-04-13,14.0,78.71428571428571,2,20,17,2
410,SE CON MEN ABR/16,SE,2016-05-01,2016-04-13,3.0,54.333333333333336,0,18,3,14
411,SE CON MEN ABR/16,SE,2016-05-01,2016-04-15,4.0,55.125,0,18,2,15
5744,SE CON MEN MAI/16,SE,2016-06-01,2016-04-15,8.0,85.875,1,13,10,2
5003,SE CON MEN JUN/16,SE,2016-07-01,2016-04-15,6.0,81.0,2,20,16,3
412,SE CON MEN ABR/16,SE,2016-05-01,2016-04-18,2.0,54.0,0,18,1,16
5745,SE CON MEN MAI/16,SE,2016-06-01,2016-04-19,2.0,90.0,1,13,9,3
5004,SE CON MEN JUN/16,SE,2016-07-01,2016-04-26,1.0,88.0,2,20,15,4
5005,SE CON MEN JUN/16,SE,2016-07-01,2016-04-28,3.0,95.33,2,20,14,5
5746,SE CON MEN MAI/16,SE,2016-06-01,2016-04-28,6.0,95.41666666666667,1,13,8,4
413,SE CON MEN ABR/16,SE,2016-05-01,2016-04-28,1.0,54.0,0,18,0,17
5747,SE CON MEN MAI/16,SE,2016-06-01,2016-04-29,2.0,91.0,1,13,7,5
5006,SE CON MEN JUN/16,SE,2016-07-01,2016-05-02,4.0,77.25,1,20,13,6
5748,SE CON MEN MAI/16,SE,2016-06-01,2016-05-02,3.5,81.42857142857143,0,13,6,6
5749,SE CON MEN MAI/16,SE,2016-06-01,2016-05-05,1.0,78.0,0,13,5,7
5007,SE CON MEN JUN/16,SE,2016-07-01,2016-05-05,1.0,75.0,1,20,12,7
5750,SE CON MEN MAI/16,SE,2016-06-01,2016-05-06,2.0,78.5,0,13,4,8
5008,SE CON MEN JUN/16,SE,2016-07-01,2016-05-06,1.3,69.88461538461537,1,20,11,8
5751,SE CON MEN MAI/16,SE,2016-06-01,2016-05-09,1.0,80.0,0,13,3,9
5752,SE CON MEN MAI/16,SE,2016-06-01,2016-05-10,2.0,76.0,0,13,2,10
5009,SE CON MEN JUN/16,SE,2016-07-01,2016-05-10,5.0,64.6,1,20,10,9
