strat_id,strat_name,dt,BBands_mid_5_2.0,BBands_top_5_2.0,BBands_bot_5_2.0
0,period5_devfactor2.0,2015-09-23,186.7798374841853,197.32882555495533,176.23084941341526
0,period5_devfactor2.0,2015-09-24,187.70132193957664,197.61242868054111,177.79021519861217
0,period5_devfactor2.0,2015-09-25,188.73137251872723,197.0958074481013,180.36693758935314
0,period5_devfactor2.0,2015-09-26,189.55947529549252,195.73893989139773,183.3800106995873
0,period5_devfactor2.0,2015-09-27,187.54529712955366,192.19370826799744,182.89688599110988
0,period5_devfactor2.0,2015-09-28,185.7813961442136,189.4957223421802,182.06706994624702
0,period5_devfactor2.0,2015-09-29,184.60825724335604,188.74545935503565,180.47105513167642
0,period5_devfactor2.0,2015-09-30,180.06226220873538,195.79922860721197,164.32529581025878
0,period5_devfactor2.0,2015-10-01,175.46420158653683,194.22858232243257,156.6998208506411
0,period5_devfactor2.0,2015-10-02,171.24076070485665,189.42474527436116,153.05677613535215
0,period5_devfactor2.0,2015-10-03,167.36504264257763,181.9380130857557,152.79207219939957
0,period5_devfactor2.0,2015-10-04,163.6691161356629,164.6312949640123,162.7069373073135
0,period5_devfactor2.0,2015-10-05,163.54285714285714,163.99999999999167,163.08571428572262
0,period5_devfactor2.0,2015-10-06,163.65714285714284,164.21702622693115,163.09725948735453
0,period5_devfactor2.0,2015-10-07,163.77142857142857,164.33131194119088,163.21154520166627
0,period5_devfactor2.0,2015-10-08,163.8857142857143,164.3428571428329,163.4285714285957
0,period5_devfactor2.0,2015-10-09,164.0,164.0,164.0
0,period5_devfactor2.0,2015-10-10,164.0,164.0,164.0
0,period5_devfactor2.0,2015-10-11,164.0,164.0,164.0
0,period5_devfactor2.0,2015-10-12,164.0,164.0,164.0
0,period5_devfactor2.0,2015-10-13,164.0,164.0,164.0
0,period5_devfactor2.0,2015-10-14,164.0,164.0,164.0
0,period5_devfactor2.0,2015-10-15,164.4,165.9999999999993,162.80000000000072
0,period5_devfactor2.0,2015-10-16,164.95999999999998,167.3653274205463,162.55467257945367
0,period5_devfactor2.0,2015-10-17,165.52,168.06998039208102,162.970019607919
0,period5_devfactor2.0,2015-10-18,166.45333333333332,169.46843605869194,163.4382306079747
0,period5_devfactor2.0,2015-10-19,167.38666666666668,169.55701226125922,165.21632107207415
0,period5_devfactor2.0,2015-10-20,167.7866666666667,169.46983827604873,166.10349505728465
0,period5_devfactor2.0,2015-10-21,168.92666666666668,172.75135837537368,165.10197495795967
0,period5_devfactor2.0,2015-10-22,170.06666666666666,174.06999861226618,166.06333472106715
0,period5_devfactor2.0,2015-10-23,170.83333333333331,174.9375317257695,166.72913494089713
0,period5_devfactor2.0,2015-10-24,171.6,175.20000000000087,167.99999999999912
